year,lga_id,lga,state,zone,lat,lon,pop_6_11,urban,poverta_minorile,alfab_femminile,distanza_scuola_km,rapporto_alunni_ins,servizi_igienici_f,accesso_stradale,lavoro_minorile,eventi_conflitto,shock_climatico,scuola_coranica,acqua_potabile,spesa_edu_procapite,tasso_fuori_scuola,divario_genere_pp,tasso_fuori_scuola_f,tasso_fuori_scuola_m,target_oos_t1,bambini_fuori_scuola
2025,59680162B46130456424051,Potiskum,Yobe,North East,11.685,11.143,42336,0,87.612,43.101,2.98,60.826,27.509,49.896,24.391,5,78.521,25.645,54.816,18.449,55.211,1.09,55.809,54.722,,23374
2020,59680162B46174350236230,Warri South-West,Delta,South South,5.507,5.348,34795,0,74.347,69.905,1.331,41.549,68.625,73.339,24.695,1,61.58,8.378,66.798,17.967,21.393,0.39,21.605,21.22,22.399,7444
2021,59680162B46174350236230,Warri South-West,Delta,South South,5.507,5.348,34795,0,62.854,64.793,1.985,47.611,48.262,70.038,10.753,1,57.654,5.702,68.559,40.19,22.399,-1.48,21.586,23.064,36.877,7794
2022,59680162B46174350236230,Warri South-West,Delta,South South,5.507,5.348,34795,0,79.532,84.287,5.418,50.276,42.384,75.206,7.768,1,66.13,9.031,86.177,13.047,36.877,1.38,37.637,36.256,10.107,12832
2023,59680162B46174350236230,Warri South-West,Delta,South South,5.507,5.348,34795,0,64.778,82.738,0.721,38.306,70.751,79.232,5.689,0,52.958,0.0,91.96,30.291,10.107,-1.79,9.12,10.914,15.175,3517
2024,59680162B46174350236230,Warri South-West,Delta,South South,5.507,5.348,34795,0,70.805,74.357,0.248,53.847,52.008,84.339,13.136,0,51.726,0.528,83.706,32.933,15.175,-0.37,14.972,15.342,16.682,5280
2025,59680162B46174350236230,Warri South-West,Delta,South South,5.507,5.348,34795,0,61.193,78.677,0.715,24.934,53.971,63.124,13.434,1,47.016,0.0,68.724,35.894,16.682,-0.21,16.567,16.777,,5805
2020,59680162B46179290363212,Umu-Nneochi,Abia,South East,5.959,7.392,49222,1,51.655,82.247,0.2,30.217,74.05,99.0,7.113,1,22.131,0.0,89.205,30.374,3.597,1.23,4.271,3.045,0.8,1770
2021,59680162B46179290363212,Umu-Nneochi,Abia,South East,5.959,7.392,49222,1,49.648,99.0,0.2,33.268,89.152,99.0,0.5,0,37.834,2.502,99.0,11.142,0.8,-2.61,0.5,1.977,6.334,394
2022,59680162B46179290363212,Umu-Nneochi,Abia,South East,5.959,7.392,49222,1,70.062,99.0,0.2,43.747,83.899,96.368,8.374,0,42.196,0.0,99.0,20.813,6.334,-2.1,5.176,7.281,0.8,3118
2023,59680162B46179290363212,Umu-Nneochi,Abia,South East,5.959,7.392,49222,1,60.474,88.745,0.2,33.116,70.427,90.017,1.64,1,22.665,0.0,97.723,51.316,0.8,-0.26,0.657,0.917,0.8,394
2024,59680162B46179290363212,Umu-Nneochi,Abia,South East,5.959,7.392,49222,1,42.525,96.649,0.551,18.028,99.0,99.0,5.086,0,34.946,2.157,99.0,28.302,0.8,-1.6,0.5,1.519,8.19,394
2025,59680162B46179290363212,Umu-Nneochi,Abia,South East,5.959,7.392,49222,1,49.898,99.0,1.175,36.765,73.199,74.784,3.328,0,52.076,0.0,99.0,33.56,8.19,-0.22,8.072,8.288,,4032
2020,59680162B46182656305392,Kanke,Plateau,North Central,9.365,9.654,59706,1,67.328,52.665,2.082,48.236,49.202,54.039,15.137,0,38.847,9.366,69.202,13.427,30.554,0.5,30.828,30.33,28.376,18243
2021,59680162B46182656305392,Kanke,Plateau,North Central,9.365,9.654,59706,1,66.937,71.204,3.581,50.94,44.198,59.793,11.82,7,39.352,3.423,77.465,20.443,28.376,-0.48,28.11,28.593,18.312,16942
2022,59680162B46182656305392,Kanke,Plateau,North Central,9.365,9.654,59706,1,62.208,79.276,1.371,49.883,67.921,66.693,12.273,2,24.95,0.0,71.064,30.129,18.312,-1.03,17.747,18.774,26.395,10933
2023,59680162B46182656305392,Kanke,Plateau,North Central,9.365,9.654,59706,1,69.566,81.936,2.182,58.907,55.256,82.078,12.23,1,25.916,18.044,76.042,16.124,26.395,-0.4,26.176,26.574,16.821,15759
2024,59680162B46182656305392,Kanke,Plateau,North Central,9.365,9.654,59706,1,58.835,56.455,1.123,22.291,44.413,93.104,16.596,1,34.87,25.808,78.8,32.651,16.821,-0.2,16.709,16.913,12.424,10043
2025,59680162B46182656305392,Kanke,Plateau,North Central,9.365,9.654,59706,1,49.246,70.01,0.2,38.064,63.775,73.038,18.01,2,53.605,5.954,74.366,29.847,12.424,1.33,13.154,11.827,,7418
2020,59680162B46226733150895,Oju,Benue,North Central,6.874,8.323,34454,0,73.905,59.2,4.075,32.309,54.453,41.281,16.754,3,56.495,11.515,41.562,16.598,31.453,-0.97,30.919,31.89,27.413,10837
2021,59680162B46226733150895,Oju,Benue,North Central,6.874,8.323,34454,0,82.223,64.593,4.87,51.604,64.881,70.45,19.078,1,41.76,2.641,64.965,22.385,27.413,-1.38,26.654,28.034,29.128,9445
2022,59680162B46226733150895,Oju,Benue,North Central,6.874,8.323,34454,0,81.008,56.882,4.292,52.513,53.77,63.182,16.566,2,42.64,0.0,54.38,13.576,29.128,2.5,30.501,28.005,16.181,10036
2023,59680162B46226733150895,Oju,Benue,North Central,6.874,8.323,34454,0,71.157,69.508,2.875,37.511,99.0,59.916,15.632,2,37.131,15.348,93.752,7.632,16.181,-1.52,15.344,16.866,36.725,5575
2024,59680162B46226733150895,Oju,Benue,North Central,6.874,8.323,34454,0,74.938,84.777,3.085,36.801,39.049,49.662,19.263,2,39.564,16.053,86.765,18.564,36.725,-1.31,36.004,37.314,23.547,12653
2025,59680162B46226733150895,Oju,Benue,North Central,6.874,8.323,34454,0,72.365,62.287,4.159,34.192,55.752,60.254,18.002,3,54.272,0.0,75.946,37.117,23.547,0.75,23.958,23.211,,8113
2020,59680162B46296414727789,Ifako/Ijaye,Lagos,South West,6.666,3.313,36572,1,64.814,93.784,0.2,49.679,67.708,86.727,5.16,0,42.14,0.0,99.0,25.642,11.699,-1.34,10.965,12.3,7.168,4279
2021,59680162B46296414727789,Ifako/Ijaye,Lagos,South West,6.666,3.313,36572,1,41.968,99.0,1.787,37.925,95.939,99.0,6.734,0,56.959,0.0,96.479,56.221,7.168,-2.51,5.79,8.296,8.646,2622
2022,59680162B46296414727789,Ifako/Ijaye,Lagos,South West,6.666,3.313,36572,1,62.005,99.0,1.319,44.407,82.605,99.0,9.827,0,35.697,4.287,96.235,12.879,8.646,0.52,8.93,8.413,6.447,3162
2023,59680162B46296414727789,Ifako/Ijaye,Lagos,South West,6.666,3.313,36572,1,56.156,99.0,2.316,53.833,83.379,99.0,4.148,0,36.216,0.45,86.174,25.075,6.447,-3.0,4.797,7.797,0.8,2358
2024,59680162B46296414727789,Ifako/Ijaye,Lagos,South West,6.666,3.313,36572,1,64.727,95.579,0.2,27.106,88.955,96.806,6.653,1,44.254,4.369,99.0,16.457,0.8,-2.9,0.5,2.107,9.665,293
2025,59680162B46296414727789,Ifako/Ijaye,Lagos,South West,6.666,3.313,36572,1,59.128,96.292,1.398,32.839,94.236,86.997,9.616,1,45.435,0.0,99.0,24.846,9.665,-1.21,9.001,10.209,,3535
2020,59680162B46313771844948,Toungo,Adamawa,North East,7.933,11.789,63247,0,94.903,44.469,1.196,54.947,25.181,27.636,26.774,5,63.498,19.407,47.801,13.585,47.091,2.55,48.493,45.944,43.457,29783
2021,59680162B46313771844948,Toungo,Adamawa,North East,7.933,11.789,63247,0,87.421,31.863,5.49,45.277,38.402,48.882,27.999,3,79.868,23.809,66.226,14.382,43.457,1.17,44.103,42.928,58.332,27485
2022,59680162B46313771844948,Toungo,Adamawa,North East,7.933,11.789,63247,0,92.215,39.949,4.838,69.231,48.549,74.004,34.784,3,64.699,23.619,33.737,15.353,58.332,-0.43,58.094,58.526,41.004,36893
2023,59680162B46313771844948,Toungo,Adamawa,North East,7.933,11.789,63247,0,90.274,43.755,4.517,48.36,25.196,42.158,19.805,3,45.694,28.901,62.858,28.612,41.004,1.42,41.785,40.366,41.103,25934
2024,59680162B46313771844948,Toungo,Adamawa,North East,7.933,11.789,63247,0,72.439,35.327,4.736,43.322,19.974,58.86,27.217,4,61.963,11.139,35.294,14.052,41.103,0.69,41.48,40.794,55.384,25996
2025,59680162B46313771844948,Toungo,Adamawa,North East,7.933,11.789,63247,0,89.121,23.023,2.041,64.171,27.383,47.382,27.799,2,66.818,14.671,63.132,18.224,55.384,0.11,55.442,55.337,,35029
2020,59680162B46396512293260,Baruten,Kwara,North Central,9.386,3.441,32147,0,85.637,48.687,2.577,53.548,46.148,40.351,21.174,3,36.394,9.88,85.107,16.512,34.037,-0.58,33.717,34.3,36.584,10942
2021,59680162B46396512293260,Baruten,Kwara,North Central,9.386,3.441,32147,0,82.911,58.175,1.857,44.673,52.322,72.595,28.402,4,51.531,19.908,58.67,21.453,36.584,1.85,37.599,35.754,35.392,11761
2022,59680162B46396512293260,Baruten,Kwara,North Central,9.386,3.441,32147,0,69.31,67.174,3.755,29.258,27.971,81.814,14.081,3,51.074,16.022,72.043,16.879,35.392,-0.3,35.228,35.526,26.339,11377
2023,59680162B46396512293260,Baruten,Kwara,North Central,9.386,3.441,32147,0,77.204,69.11,1.997,69.927,71.949,52.285,17.795,1,56.207,2.577,57.689,30.401,26.339,1.06,26.923,25.861,25.871,8467
2024,59680162B46396512293260,Baruten,Kwara,North Central,9.386,3.441,32147,0,77.449,64.725,2.528,34.057,50.108,46.621,16.846,2,42.181,6.374,68.189,36.614,25.871,1.81,26.865,25.058,37.171,8317
2025,59680162B46396512293260,Baruten,Kwara,North Central,9.386,3.441,32147,0,66.763,72.134,3.472,47.087,58.951,72.735,26.774,4,53.068,20.788,63.482,32.808,37.171,-0.17,37.079,37.247,,11949
2020,59680162B46455483877403,Bunkure,Kano,North West,11.669,8.548,23686,0,90.637,52.188,4.384,59.365,45.353,23.84,32.096,3,59.927,52.877,34.165,28.863,53.157,1.0,53.705,52.709,56.65,12591
2021,59680162B46455483877403,Bunkure,Kano,North West,11.669,8.548,23686,0,86.871,55.295,4.437,75.091,25.004,30.936,46.929,2,60.596,27.283,63.227,21.809,56.65,0.15,56.731,56.584,45.713,13418
2022,59680162B46455483877403,Bunkure,Kano,North West,11.669,8.548,23686,0,92.623,34.141,3.85,63.602,46.73,32.264,31.893,3,74.752,43.679,51.572,15.751,45.713,2.1,46.869,44.767,45.571,10828
2023,59680162B46455483877403,Bunkure,Kano,North West,11.669,8.548,23686,0,93.224,46.529,3.138,54.316,22.48,48.052,34.952,0,56.084,24.248,52.853,30.316,45.571,-0.58,45.252,45.833,50.287,10794
2024,59680162B46455483877403,Bunkure,Kano,North West,11.669,8.548,23686,0,98.996,38.685,3.7,58.944,37.438,46.977,32.469,0,71.119,37.804,41.772,39.702,50.287,2.84,51.849,49.01,45.834,11911
2025,59680162B46455483877403,Bunkure,Kano,North West,11.669,8.548,23686,0,91.459,34.784,5.142,69.091,30.744,48.729,32.975,2,48.716,26.339,41.018,21.08,45.834,1.14,46.461,45.322,,10856
2020,59680162B46550202368720,Obubra,Cross River,South South,6.002,8.383,30158,1,58.472,93.017,0.2,51.582,62.37,73.927,0.5,1,50.708,0.0,92.816,15.251,11.192,0.09,11.244,11.15,16.488,3375
2021,59680162B46550202368720,Obubra,Cross River,South South,6.002,8.383,30158,1,57.066,95.154,0.871,42.878,65.601,92.937,11.996,1,51.839,14.03,89.089,14.342,16.488,-0.41,16.263,16.672,5.92,4972
2022,59680162B46550202368720,Obubra,Cross River,South South,6.002,8.383,30158,1,58.114,76.824,0.2,45.307,90.912,64.454,0.5,0,64.801,0.0,54.492,45.913,5.92,-0.13,5.846,5.98,12.323,1785
2023,59680162B46550202368720,Obubra,Cross River,South South,6.002,8.383,30158,1,63.488,99.0,0.886,55.141,78.457,62.651,4.555,0,55.506,0.0,99.0,28.655,12.323,0.01,12.331,12.318,26.374,3717
2024,59680162B46550202368720,Obubra,Cross River,South South,6.002,8.383,30158,1,56.148,85.87,2.682,39.001,58.503,79.719,20.253,0,43.196,8.913,61.415,16.023,26.374,-0.77,25.951,26.721,8.707,7954
2025,59680162B46550202368720,Obubra,Cross River,South South,6.002,8.383,30158,1,50.081,99.0,0.2,45.302,71.525,99.0,13.192,0,61.311,0.0,98.484,28.542,8.707,-2.05,7.582,9.628,,2626
2020,59680162B46553103488347,Rimin Gado,Kano,North West,11.925,8.332,57923,0,89.673,45.842,4.65,52.73,42.39,39.009,14.002,1,53.273,41.349,44.103,10.745,47.503,1.12,48.12,46.998,51.897,27515
2021,59680162B46553103488347,Rimin Gado,Kano,North West,11.925,8.332,57923,0,86.214,28.125,2.91,54.374,6.312,31.725,19.191,3,57.408,55.73,34.596,28.975,51.897,0.53,52.189,51.659,54.734,30061
2022,59680162B46553103488347,Rimin Gado,Kano,North West,11.925,8.332,57923,0,95.556,27.817,5.304,55.725,26.593,50.278,30.704,0,57.243,30.106,59.704,20.183,54.734,2.43,56.071,53.64,49.922,31704
2023,59680162B46553103488347,Rimin Gado,Kano,North West,11.925,8.332,57923,0,91.35,45.35,3.298,67.129,45.393,28.141,37.354,1,80.232,23.935,43.219,14.412,49.922,1.93,50.984,49.053,45.664,28916
2024,59680162B46553103488347,Rimin Gado,Kano,North West,11.925,8.332,57923,0,98.996,37.819,2.17,55.397,66.773,47.119,42.504,3,55.556,37.505,21.851,20.383,45.664,-1.71,44.724,46.433,46.567,26450
2025,59680162B46553103488347,Rimin Gado,Kano,North West,11.925,8.332,57923,0,98.446,24.692,3.786,49.722,44.564,48.524,23.798,0,64.574,32.284,28.059,27.072,46.567,2.33,47.85,45.518,,26973
2020,59680162B4656907626813,Ezeagu,Enugu,South East,6.41,7.243,6703,0,66.892,79.749,2.992,26.662,96.125,78.668,8.038,0,33.438,0.0,75.318,17.569,15.499,-1.68,14.575,16.255,20.163,1039
2021,59680162B4656907626813,Ezeagu,Enugu,South East,6.41,7.243,6703,0,72.057,90.096,0.27,29.312,51.367,57.148,12.424,1,44.339,12.908,90.114,25.319,20.163,-1.59,19.291,20.877,1.108,1352
2022,59680162B4656907626813,Ezeagu,Enugu,South East,6.41,7.243,6703,0,57.378,87.326,3.384,21.599,82.799,62.659,4.714,2,40.462,2.989,93.603,26.436,1.108,-0.26,0.965,1.225,11.846,74
2023,59680162B4656907626813,Ezeagu,Enugu,South East,6.41,7.243,6703,0,58.656,73.629,1.721,30.318,89.034,99.0,0.5,1,37.158,0.0,81.461,23.302,11.846,-2.24,10.617,12.852,10.002,794
2024,59680162B4656907626813,Ezeagu,Enugu,South East,6.41,7.243,6703,0,74.864,99.0,1.779,22.167,78.543,86.896,5.633,0,28.265,4.976,66.124,33.012,10.002,0.25,10.138,9.891,5.671,670
2025,59680162B4656907626813,Ezeagu,Enugu,South East,6.41,7.243,6703,0,61.777,99.0,0.2,35.986,80.707,67.225,8.925,0,37.018,0.0,68.711,28.626,5.671,-0.65,5.314,5.963,,380
2020,59680162B46612932493253,Albasu,Kano,North West,11.646,9.04,55275,0,99.0,41.665,3.368,61.76,28.201,37.47,35.681,0,54.22,37.956,66.952,11.007,48.109,0.73,48.511,47.78,49.837,26592
2021,59680162B46612932493253,Albasu,Kano,North West,11.646,9.04,55275,0,98.869,48.815,5.562,61.811,50.049,39.404,31.288,3,63.58,40.661,35.225,10.567,49.837,1.3,50.55,49.253,58.441,27547
2022,59680162B46612932493253,Albasu,Kano,North West,11.646,9.04,55275,0,94.677,31.074,3.45,73.179,26.15,52.155,38.291,1,77.535,30.031,42.813,20.253,58.441,1.61,59.329,57.715,52.159,32303
2023,59680162B46612932493253,Albasu,Kano,North West,11.646,9.04,55275,0,94.346,30.226,4.537,66.234,22.429,31.062,27.014,2,40.666,38.446,40.653,16.657,52.159,1.48,52.976,51.492,54.933,28831
2024,59680162B46612932493253,Albasu,Kano,North West,11.646,9.04,55275,0,98.996,37.509,3.616,58.875,35.61,65.537,24.812,1,53.02,44.651,46.963,18.914,54.933,3.09,56.631,53.543,48.019,30364
2025,59680162B46612932493253,Albasu,Kano,North West,11.646,9.04,55275,0,93.255,34.463,3.833,53.935,51.757,30.345,45.05,0,52.923,25.735,67.419,18.1,48.019,-1.04,47.445,48.488,,26542
2020,59680162B46774046834533,Ekiti South-West,Ekiti,South West,7.528,5.039,17738,1,62.187,85.557,0.876,46.901,91.696,69.146,0.5,1,30.828,0.0,99.0,57.991,11.461,0.31,11.632,11.322,10.51,2033
2021,59680162B46774046834533,Ekiti South-West,Ekiti,South West,7.528,5.039,17738,1,48.817,85.65,1.93,33.85,68.952,69.761,0.5,2,46.835,2.866,89.788,16.891,10.51,0.1,10.562,10.467,8.255,1864
2022,59680162B46774046834533,Ekiti South-West,Ekiti,South West,7.528,5.039,17738,1,47.907,92.215,0.969,35.141,70.937,99.0,0.5,0,37.315,0.0,88.658,39.2,8.255,-3.0,6.605,9.605,4.607,1464
2023,59680162B46774046834533,Ekiti South-West,Ekiti,South West,7.528,5.039,17738,1,66.725,83.702,1.093,44.617,74.043,99.0,4.755,1,40.982,0.0,88.437,34.775,4.607,-1.83,3.599,5.432,10.044,817
2024,59680162B46774046834533,Ekiti South-West,Ekiti,South West,7.528,5.039,17738,1,52.647,98.123,0.2,35.447,61.99,99.0,10.663,0,37.26,3.947,88.426,20.362,10.044,-3.0,8.394,11.394,0.8,1782
2025,59680162B46774046834533,Ekiti South-West,Ekiti,South West,7.528,5.039,17738,1,58.41,98.349,0.2,30.334,88.696,95.273,0.5,0,34.069,0.0,89.31,22.57,0.8,0.68,1.174,0.494,,142
2020,59680162B46802984315739,Opobo/Nkoro,Rivers,South South,4.531,7.494,79625,0,70.485,62.425,2.642,30.411,61.509,65.4,12.092,0,46.502,0.0,53.689,33.958,20.781,0.0,20.784,20.779,23.83,16547
2021,59680162B46802984315739,Opobo/Nkoro,Rivers,South South,4.531,7.494,79625,0,66.591,80.207,2.359,36.862,74.92,74.63,10.925,2,68.995,0.0,77.856,12.0,23.83,1.37,24.585,23.212,22.582,18975
2022,59680162B46802984315739,Opobo/Nkoro,Rivers,South South,4.531,7.494,79625,0,75.928,89.084,1.152,24.057,73.357,78.366,22.202,0,58.313,5.051,86.166,24.283,22.582,-1.77,21.607,23.38,10.018,17981
2023,59680162B46802984315739,Opobo/Nkoro,Rivers,South South,4.531,7.494,79625,0,61.604,79.408,2.307,18.472,61.019,74.834,6.768,0,77.067,0.0,67.965,17.744,10.018,3.48,11.93,8.453,16.847,7977
2024,59680162B46802984315739,Opobo/Nkoro,Rivers,South South,4.531,7.494,79625,0,66.542,95.81,2.626,15.882,77.953,72.663,8.231,0,38.338,0.0,61.872,15.319,16.847,-2.47,15.491,17.957,23.427,13415
2025,59680162B46802984315739,Opobo/Nkoro,Rivers,South South,4.531,7.494,79625,0,75.674,94.291,2.981,44.387,78.818,58.513,4.811,0,60.129,2.337,74.687,35.032,23.427,0.54,23.722,23.186,,18654
2020,59680162B46902450612836,Tofa,Kano,North West,12.025,8.342,58697,1,75.734,63.908,2.598,59.058,67.34,49.026,22.282,2,54.914,40.434,38.913,13.546,35.554,0.38,35.765,35.382,51.136,20869
2021,59680162B46902450612836,Tofa,Kano,North West,12.025,8.342,58697,1,75.119,43.741,2.534,67.725,34.746,58.507,35.827,1,59.881,33.012,58.56,16.655,51.136,-0.6,50.807,51.405,45.549,30015
2022,59680162B46902450612836,Tofa,Kano,North West,12.025,8.342,58697,1,91.096,50.447,2.664,76.13,46.552,60.674,25.005,0,60.968,9.393,53.479,32.095,45.549,-1.54,44.705,46.24,46.683,26736
2023,59680162B46902450612836,Tofa,Kano,North West,12.025,8.342,58697,1,90.546,57.663,4.915,82.423,61.767,67.04,19.085,0,56.173,16.786,37.387,19.683,46.683,-0.23,46.559,46.785,45.537,27402
2024,59680162B46902450612836,Tofa,Kano,North West,12.025,8.342,58697,1,86.173,50.288,5.044,58.857,22.527,51.038,15.805,2,62.951,36.889,71.007,14.6,45.537,1.11,46.148,45.036,38.082,26729
2025,59680162B46902450612836,Tofa,Kano,North West,12.025,8.342,58697,1,80.811,56.79,2.198,72.23,32.019,42.034,23.515,0,68.654,39.154,70.599,57.558,38.082,2.69,39.56,36.874,,22353
2020,59680162B46910461063287,Ukwa West,Abia,South East,4.972,7.262,24465,1,55.267,91.802,0.2,41.702,71.695,90.987,1.269,1,41.024,0.0,92.312,34.493,11.712,-0.85,11.243,12.096,11.171,2865
2021,59680162B46910461063287,Ukwa West,Abia,South East,4.972,7.262,24465,1,58.767,84.605,2.896,37.412,91.346,94.909,0.5,1,42.393,17.49,99.0,21.145,11.171,-1.78,10.194,11.97,4.684,2733
2022,59680162B46910461063287,Ukwa West,Abia,South East,4.972,7.262,24465,1,60.764,93.326,1.242,27.737,85.272,87.335,4.091,0,31.362,0.0,81.281,21.964,4.684,-2.43,3.35,5.776,8.529,1146
2023,59680162B46910461063287,Ukwa West,Abia,South East,4.972,7.262,24465,1,53.487,83.043,0.769,40.955,99.0,99.0,6.858,1,43.396,0.0,88.437,16.078,8.529,-1.12,7.914,9.032,3.795,2087
2024,59680162B46910461063287,Ukwa West,Abia,South East,4.972,7.262,24465,1,58.243,98.024,3.963,32.888,94.236,96.706,0.5,0,17.799,0.0,90.833,17.844,3.795,-3.0,2.145,5.145,9.413,928
2025,59680162B46910461063287,Ukwa West,Abia,South East,4.972,7.262,24465,1,56.611,96.924,0.2,30.692,71.376,99.0,0.5,1,56.543,0.0,99.0,25.661,9.413,-1.07,8.824,9.895,,2303
2020,59680162B46976557303871,Bunza,Kebbi,North West,12.21,3.963,11487,0,86.945,48.414,4.246,62.3,20.406,32.34,23.359,0,59.939,36.394,35.101,14.678,46.254,1.03,46.82,45.792,52.892,5313
2021,59680162B46976557303871,Bunza,Kebbi,North West,12.21,3.963,11487,0,83.707,32.714,4.716,64.735,37.597,13.796,38.871,2,48.52,42.212,51.543,12.467,52.892,1.09,53.494,52.4,51.167,6076
2022,59680162B46976557303871,Bunza,Kebbi,North West,12.21,3.963,11487,0,88.967,41.042,4.054,50.656,31.473,26.593,31.158,1,64.917,43.701,47.646,10.975,51.167,2.79,52.701,49.913,51.682,5878
2023,59680162B46976557303871,Bunza,Kebbi,North West,12.21,3.963,11487,0,79.652,30.694,4.021,75.465,53.665,41.041,35.278,2,66.677,43.463,36.659,16.393,51.682,-0.35,51.487,51.841,50.796,5937
2024,59680162B46976557303871,Bunza,Kebbi,North West,12.21,3.963,11487,0,92.349,39.985,4.935,63.429,25.212,51.789,38.42,1,37.341,26.86,61.165,25.225,50.796,2.36,52.092,49.736,48.23,5835
2025,59680162B46976557303871,Bunza,Kebbi,North West,12.21,3.963,11487,0,79.716,39.119,2.63,64.831,7.697,58.715,33.162,2,64.427,19.16,61.77,18.18,48.23,1.06,48.813,47.753,,5540
2020,59680162B47044873054392,Guma,Benue,North Central,7.868,8.668,14681,0,72.587,62.119,3.005,28.462,24.302,71.432,27.085,4,53.74,17.975,63.03,11.28,27.953,1.48,28.768,27.286,37.468,4104
2021,59680162B47044873054392,Guma,Benue,North Central,7.868,8.668,14681,0,72.621,57.187,3.038,49.861,33.181,61.053,23.797,3,73.781,2.525,79.832,14.906,37.468,-0.0,37.466,37.469,38.219,5501
2022,59680162B47044873054392,Guma,Benue,North Central,7.868,8.668,14681,0,73.539,43.543,4.109,52.127,45.02,49.361,12.012,1,56.24,0.0,52.38,9.603,38.219,-0.39,38.006,38.392,24.592,5611
2023,59680162B47044873054392,Guma,Benue,North Central,7.868,8.668,14681,0,61.092,59.924,0.716,35.981,52.138,72.105,26.908,1,29.874,17.866,50.24,14.325,24.592,-0.98,24.056,25.031,25.631,3610
2024,59680162B47044873054392,Guma,Benue,North Central,7.868,8.668,14681,0,80.809,67.848,3.997,40.18,40.252,58.428,11.311,0,32.033,1.068,63.545,45.185,25.631,-1.42,24.85,26.27,30.097,3763
2025,59680162B47044873054392,Guma,Benue,North Central,7.868,8.668,14681,0,66.302,66.067,4.132,38.211,73.025,95.017,22.799,2,49.491,2.394,46.959,22.073,30.097,-0.4,29.876,30.277,,4419
2020,59680162B47068494760958,Yagba East,Kogi,North Central,8.136,5.723,100461,0,71.606,57.039,2.91,40.525,51.534,44.752,15.085,3,61.936,2.04,99.0,23.773,30.617,1.68,31.542,29.86,34.392,30758
2021,59680162B47068494760958,Yagba East,Kogi,North Central,8.136,5.723,100461,0,76.749,47.139,2.658,47.38,41.66,38.793,14.555,1,47.92,10.417,69.937,10.033,34.392,1.21,35.057,33.847,36.656,34550
2022,59680162B47068494760958,Yagba East,Kogi,North Central,8.136,5.723,100461,0,65.125,77.689,2.369,43.192,36.394,82.698,21.084,6,36.916,9.897,66.377,14.641,36.656,1.18,37.303,36.126,26.949,36825
2023,59680162B47068494760958,Yagba East,Kogi,North Central,8.136,5.723,100461,0,71.225,51.625,4.115,37.905,44.079,28.19,9.211,1,26.177,0.0,62.968,33.314,26.949,2.55,28.349,25.804,29.722,27073
2024,59680162B47068494760958,Yagba East,Kogi,North Central,8.136,5.723,100461,0,69.588,56.27,1.037,51.037,44.641,40.179,31.123,2,36.535,14.488,76.827,21.091,29.722,1.33,30.451,29.125,31.125,29859
2025,59680162B47068494760958,Yagba East,Kogi,North Central,8.136,5.723,100461,0,74.564,73.662,3.167,43.56,58.223,63.134,18.287,2,39.778,10.315,72.661,15.685,31.125,0.74,31.534,30.79,,31268
2020,59680162B47259322211203,Ede North,Osun,South West,7.717,4.487,17013,1,53.101,92.54,1.995,45.886,86.546,90.111,11.862,1,44.506,0.0,90.337,26.985,14.413,-1.76,13.447,15.203,5.679,2452
2021,59680162B47259322211203,Ede North,Osun,South West,7.717,4.487,17013,1,57.799,95.113,1.531,39.52,94.018,99.0,9.733,1,37.136,0.0,85.971,48.487,5.679,-1.89,4.641,6.529,6.76,966
2022,59680162B47259322211203,Ede North,Osun,South West,7.717,4.487,17013,1,48.274,80.72,0.526,59.679,66.568,78.648,1.829,1,29.899,0.0,99.0,20.491,6.76,1.94,7.827,5.887,3.411,1150
2023,59680162B47259322211203,Ede North,Osun,South West,7.717,4.487,17013,1,50.675,97.08,0.2,17.95,81.305,84.042,0.5,0,30.375,6.382,99.0,14.457,3.411,-1.45,2.612,4.065,3.79,580
2024,59680162B47259322211203,Ede North,Osun,South West,7.717,4.487,17013,1,54.14,99.0,0.362,23.235,78.609,84.082,0.5,0,31.383,0.0,99.0,45.618,3.79,-2.07,2.653,4.721,6.257,645
2025,59680162B47259322211203,Ede North,Osun,South West,7.717,4.487,17013,1,65.568,99.0,0.61,25.556,84.168,93.689,11.189,0,45.571,0.0,99.0,50.542,6.257,-2.48,4.894,7.373,,1065
2020,59680162B47339407576735,Yamaltu/Deba,Gombe,North East,10.307,11.404,20952,0,83.934,51.107,4.005,61.604,44.214,26.203,21.423,3,64.046,26.825,11.307,30.427,47.402,1.8,48.395,46.59,46.124,9932
2021,59680162B47339407576735,Yamaltu/Deba,Gombe,North East,10.307,11.404,20952,0,89.091,36.748,1.729,61.375,35.067,33.926,25.53,7,77.064,11.529,60.977,9.854,46.124,1.36,46.873,45.511,46.002,9664
2022,59680162B47339407576735,Yamaltu/Deba,Gombe,North East,10.307,11.404,20952,0,87.152,38.685,3.327,57.465,41.34,51.403,23.34,3,69.593,25.535,67.263,16.583,46.002,2.41,47.325,44.919,49.38,9638
2023,59680162B47339407576735,Yamaltu/Deba,Gombe,North East,10.307,11.404,20952,0,83.449,43.558,1.183,57.048,29.05,28.052,30.438,9,58.949,23.22,33.238,28.573,49.38,1.52,50.219,48.694,52.382,10346
